gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
-0.298605,-0.07734219,-0.12696613,0.00627604,0.68692183,0.110058084,0.3920199,-0.6066308,0.15584639,-0.30890208,-0.040684465,0.111036785,-0.04590235,-0.0883262,0.6611875,0.1315329,-0.075639926,-0.4059704,0.030139541
-0.07975269,-0.038207337,-0.049134128,0.02834809,-0.6837739,0.00011481087,-0.060034562,-0.18496625,-0.63904613,-0.07465541,-0.0887179,0.09649973,-0.15467796,-0.14455272,-0.9877185,-0.2095389,-0.38467813,-0.08533005,-0.38372475
-0.012529935,-0.04810051,0.08326949,0.012643393,0.4583256,-0.010013693,-0.088294074,-0.17863345,-0.53842366,-0.012542382,-0.020025546,0.15589118,-0.028882364,0.0076135825,0.6041253,0.117379695,-0.47847402,0.1553372,0.18098395
-0.008475812,-0.0149460565,-0.21461634,0.07887586,-0.6044336,0.0022378154,0.38240945,-0.3227311,-0.35222933,-0.15641579,-0.025021145,-0.4044847,0.021129519,-0.31506956,-1.0573007,-0.08940566,-0.4844677,-0.31266963,-0.5060251
-0.015409658,-0.004812227,-0.009625039,0.021798737,0.17391302,-0.0054556252,-0.18431199,0.15870124,0.18584324,0.07460407,0.023820499,0.12379519,-0.0472677,-0.0964748,0.736488,0.090933844,-0.012748026,-0.14995989,0.112810865
0.030804332,-0.036676697,-0.10392382,0.08236303,0.6944028,-0.0058716713,0.24281311,0.26713088,0.14594911,0.092079714,-0.014153029,0.16341431,0.15593933,0.10090935,0.65083265,0.21186455,-0.019668076,1.0907595,0.23830818
-0.1765411,-0.01949221,-0.14670452,-0.48539275,0.12201949,-0.006376526,0.030534025,0.25096688,0.18965971,-0.050524376,0.022496462,0.13277316,0.040580355,-0.087236926,0.5640297,0.06752975,-0.6085959,0.04263024,-0.1267614
-0.15700749,-0.08423395,-0.05721158,0.06885815,-0.053842135,0.086859435,0.36596662,-0.3319902,-0.67930466,0.06752896,-0.023051018,0.037574522,-0.13458149,-0.0610195,0.51790255,-0.36764255,-0.75721365,-0.3158199,0.08608145
-0.009570679,-0.014932838,-0.022368735,0.03762065,-0.34108278,-0.009746313,0.14401963,0.26476222,0.1298293,0.19182546,0.13418655,-0.5022485,0.12724723,-0.0002337987,0.44869396,0.11945151,0.0814494,0.83618164,-0.13743886
-0.07762079,-0.034959033,-0.13401033,-0.1439559,-1.1489697,-0.011954734,-0.001031166,-0.108636424,-0.3674595,-0.027791975,0.024349742,0.14904405,-0.12016816,-0.26693442,-0.7599312,-0.14433244,-0.7484898,-0.14977698,-0.4602037
-0.048614163,-0.04636507,-0.14176211,-0.23184046,-0.23698926,-0.009449492,-0.16266406,-0.4310752,-0.6230138,0.07944596,-0.048351437,0.090062,-0.08881521,-0.0102187665,0.45396665,0.0125155635,-0.82098615,-0.30131716,-0.13069972
